id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party Anthem,DJ Krave,hip-hop,confident,0.88,96,0.72,0.91,0.08
12,Velvet Nights,Sable Moore,r&b,romantic,0.55,88,0.78,0.70,0.30
13,Morning Prelude,Clara Voss,classical,peaceful,0.18,52,0.74,0.22,0.97
14,Dust Road Memory,Hank Weller,country,nostalgic,0.61,104,0.69,0.65,0.82
15,Overdrive Protocol,Flux State,electronic,energetic,0.95,140,0.66,0.93,0.04
16,Iron Curtain,Razorback,metal,angry,0.97,168,0.31,0.55,0.06
17,Fading Photographs,Ember Lane,folk,melancholic,0.32,70,0.38,0.44,0.91
18,Rise Together,Deja Gold,soul,uplifting,0.67,98,0.88,0.74,0.53
19,Island Time,Coral Roots,reggae,relaxed,0.52,80,0.82,0.77,0.55
20,Empty Bottle Blues,T. Ray Jackson,blues,sad,0.44,66,0.29,0.48,0.78
